,item_id,status,type,uploader_user_id,created,language
5303,6001a8718678fc0018dbb1c1,APPROVED,epicride,ow4YmLg2brZBm8A5SUU18Ip4FzD3,2021-01-15 14:36:33.269,en
5304,6001a747c7955600175b4548,APPROVED,gcninspiration,yq92ZN4gpLTQRXIHFWE8A6Xkz043,2021-01-15 14:31:35.430,en
5305,6001a68e7471d900182e20ae,APPROVED,gcninspiration,zH23KtywDAQP1JoxV6ZAxHGmhV12,2021-01-15 14:28:30.841,en
5306,6001a5b37471d900182e20ac,APPROVED,gcninspiration,W5vM8Br9M7WgjbxA2FANAWFLtR93,2021-01-15 14:24:51.108,en
5307,6001a4aac7955600175b453e,APPROVED,news,xvZP9PxsYldGOONzZmuvlT8vzr82,2021-01-15 14:20:26.308,IT
5308,6001a4aaef26370018afec3b,APPROVED,news,xvZP9PxsYldGOONzZmuvlT8vzr82,2021-01-15 14:20:26.242,IT
5309,6001a4a9c7955600175b453a,REJECTED,news,hDZ9YjNP9QRTgyR5EBjQy78Bmxp1,2021-01-15 14:20:25.610,es
5310,6001a4a8ef26370018afec33,APPROVED,news,xvZP9PxsYldGOONzZmuvlT8vzr82,2021-01-15 14:20:24.380,IT
5311,6001a4a706640000183bccd6,APPROVED,news,xvZP9PxsYldGOONzZmuvlT8vzr82,2021-01-15 14:20:23.987,IT
5312,6001a4a77471d900182e20a1,APPROVED,news,xvZP9PxsYldGOONzZmuvlT8vzr82,2021-01-15 14:20:23.711,IT
5313,6001a49def26370018afec2d,APPROVED,bikevault,lArU632njgSXJzSPRsUAhLyRqag1,2021-01-15 14:20:13.664,en
5314,6001a40b01ca200017876614,APPROVED,training,OWsdlBfkvThhgFIOD71gCqkGnjo2,2021-01-15 14:17:47.675,it
5315,6001a3ef06640000183bcccf,APPROVED,hackorbodge,yq92ZN4gpLTQRXIHFWE8A6Xkz043,2021-01-15 14:17:19.208,en
5316,6001a37a06640000183bcccd,APPROVED,gcninspiration,VoE1cCIiXuVPZfZqjAqIhSUfX9H3,2021-01-15 14:15:22.989,de
5317,6001a34801ca200017876610,APPROVED,bikevault,5vwetTsLZtgEDtmk9yzGdBzgkxw1,2021-01-15 14:14:32.086,es
5318,6001a1a87471d900182e2099,APPROVED,gcninspiration,4O18khw2FRREV3t5gH1Uuwd6urg1,2021-01-15 14:07:36.510,it
5319,6001a14fc7955600175b4531,APPROVED,bikevault,WSP5TpKcyOV5O3HYpSV6RRbw4W82,2021-01-15 14:06:07.657,en
5320,60019f0c7471d900182e2095,APPROVED,gcninspiration,TeXNhvM4TGRCaqr5gKDioB3OZCC2,2021-01-15 13:56:28.515,en
5321,60019ee201ca20001787660a,APPROVED,gcninspiration,WCTW21ynKfgwZw2pqTYyDMJnVKV2,2021-01-15 13:55:46.307,en
5322,60019ea1c7955600175b452b,APPROVED,bikevault,Oi8buTA8xVeXOwvoGOOWt6klwXX2,2021-01-15 13:54:41.074,en
5323,60019d21ef26370018afec23,REJECTED,bikevault,V4NDGKnGaeMgawynF1h9fVCjouQ2,2021-01-15 13:48:17.194,en
5324,60019c8bc7955600175b4527,APPROVED,bikevault,FwLH5ZDY73dCtb8ZeH9WcBJFMSp1,2021-01-15 13:45:47.872,en
5325,60019bea01ca200017876605,APPROVED,gcninspiration,9nyeolAws9hcGZtZRcrpMPYfSjH3,2021-01-15 13:43:06.891,de
5326,60019af806640000183bccc2,APPROVED,gcninspiration,wSyukPExpebuCdakWJhgLTefgN03,2021-01-15 13:39:04.318,es
5327,60019a228678fc0018dbb1a1,APPROVED,gcninspiration,6TsRmaIeOdOEUCzbLO6VUbFoIc62,2021-01-15 13:35:30.113,it
5328,600199ff8678fc0018dbb19f,APPROVED,gcninspiration,OBfwyFJfxsfmP8ZhWxEyu2lZQSO2,2021-01-15 13:34:55.429,en
5329,600199f1c7955600175b4520,APPROVED,gcninspiration,6TsRmaIeOdOEUCzbLO6VUbFoIc62,2021-01-15 13:34:41.032,it
5330,600199a8ef26370018afec1c,APPROVED,news,yNbxcva1mFOVZ0jHl3DwwCb8x2T2,2021-01-15 13:33:28.961,en
5331,60019844c7955600175b451e,APPROVED,gcninspiration,kkdA413saTMG7fngVW2mGNo7Ipb2,2021-01-15 13:27:32.714,en
5332,6001981bc7955600175b451c,REJECTED,gcninspiration,c60RJrI0sTfNWrjTAa0BEXpsUR92,2021-01-15 13:26:51.625,en
5333,600197afab93ae00171ec3e6,APPROVED,gcninspiration,FfZKEnhhcCejnbhnp9ns2mCfcov1,2021-01-15 13:25:03.521,en
5334,6001969ac7955600175b4515,APPROVED,news,xvZP9PxsYldGOONzZmuvlT8vzr82,2021-01-15 13:20:26.214,IT
5335,6001969ac7955600175b4513,APPROVED,news,xvZP9PxsYldGOONzZmuvlT8vzr82,2021-01-15 13:20:26.201,IT
5336,60019699ef26370018afec16,APPROVED,news,NOkeDlvTcUNgLEwsmwhqDBRyZ3p1,2021-01-15 13:20:25.654,ja
5337,60019698c7955600175b450b,APPROVED,news,hDZ9YjNP9QRTgyR5EBjQy78Bmxp1,2021-01-15 13:20:24.830,es
5338,600196988678fc0018dbb18f,APPROVED,news,hDZ9YjNP9QRTgyR5EBjQy78Bmxp1,2021-01-15 13:20:24.296,es
