,user_id,settings,following
108,aKJ6uCCZooS5WJFGMjKWkTHwzSD2,,"['2u4v8ZiM9phIpS2Wbt3A55FXcvt1', '55yuJ0aPKsZFg95hC0vCNvEGiSJ3', 'CpC5QkAT3ra1XRrrcar7edCZS0n2', 'FdyH4G3BDZTZXUvPIszgnKxLK6c2', 'LEN5g9xNf2QDmUeLdNuKl9LJasR2', 'TTMpk9S1zGOE7w2MOYQsWrDhbes1', 'UiFjiy1Z4QX2XEuYT6rkkKWeEGS2', 'bXB2ufDKynSoz2vK2BUAHgifaMY2', 'dotpAPQiVeY9jzczdrYpb7qQxHB2', 'gqlQozj5L2aC4lYD0eAzrvtP6Aw2', 'hHrdkeSObkYOBUIk2QahpnbXTNC2', 'i9Lwymw7WYUAFBGNKJTL9WrdKwp1', 'ow4YmLg2brZBm8A5SUU18Ip4FzD3', 'szDxZNEzRYfXYpJGU6a78yY0ggj1', 'v42ESYchAdWXZ0qA9YWkqIMdtml1', 'xPW0jFpOROezmSYUkPPQlbPWgCH2']"
109,wSh47iC9FgbAX3yuTayorq8SKr12,,['cYKouYvhNPZu2A7xZ00YGYFxXoR2']
110,UPdPBrZDldYEnBLVlMWwuO5l7ZK2,,['j65OMJgKozWQbIxvKrr47hnJuu02']
111,oVp3LMtjGmVmsbVKmj4Y8HaE4wO2,,"['ftOhxgarg2UgcNzWLyBTw6Cj3U82', 'iX1AtPlGLbYzLYhSGV9TUEFytab2']"
112,sfFkMr2s2GORTJK8ToPn1kLWMrJ3,,"['2OWa4dDFsGP1Dp7E8BZ5GPN6QYU2', '7H5C07G3HOW6jvcIzjwJ9LuYizv2', 'F59WPw8EYkVIhHLLwOGAUkIeLVt1', 'ImfIRSUgCTeYez7q1yz5Kcw07Xw2', 'J2wplHwbUael3SeILPES5KL826T2', 'LfgQ9fubX7SPtlyLEypZe6H8XMz2', 'dNy4yi31vgazlJK5MOqMsogpC762', 'h06c8JWwo8eAVi0a8dNcCOOUypy1', 'hJnF79LaW2Vt4PglgWd59icUwVT2', 'hneQOD3wPiPdf78bY1ivTTtKMb52', 'jJUEJ9S316P2zyh5mar9i8z0aDw1', 'pbFrnENKw4UZSq3GuXKZjr5F2o23', 'u0YayWOBaydm32dSjullv21swTr2', 'xwwiQENF8ONDrtA1truM30hN8KQ2', 'yNbxcva1mFOVZ0jHl3DwwCb8x2T2']"
113,wJ8Y9FbPlPWkzQjxHVM4xapOdpE3,,"['6UJF140IGdgV6xecBDw1YuVWDlJ3', '7iBs9FIhY4fMhBO772wKuFqiyJg2', 'bZvBI3Z8LqZkcpTbMhsL2bloGHw1', 'eRRqve0NvpPU5qsfXu7HlzIwi882', 'emvfp9uUR4N0NIlHTe7DYjtrskJ2', 'hDZ9YjNP9QRTgyR5EBjQy78Bmxp1', 'v42ESYchAdWXZ0qA9YWkqIMdtml1', 'yNbxcva1mFOVZ0jHl3DwwCb8x2T2']"
114,kvZPqXyP27PvZiFM6infUzlOGuw1,,['XtPyn1rCOjWPDcyOVZ6aJpVZu4D2']
115,h24MN2e59FWx7z9QjupTXtSGfzp2,,['XtPyn1rCOjWPDcyOVZ6aJpVZu4D2']
116,si3noR7B2lT68nyXQojLMg8STMn1,"{'understoodLanguages': [‘en-GB’, ‘es-ES’]}","['79tYgQ7wPIhPdoOz6tOpjy7eXZr2', 'NwGCrFwrXaQvXK0MCHIBJQgxQVg2', 'pVRTPom74ibvnHLYykszMxaj4o13']"
117,djj1D8tbxihiNqwZ4zNvz8CzDl42,,['5SgWXYlSvuYS3OgmJyQAoTTxwA22']
118,SSQRZvenYLYWYRENpJ5SF7ZynAy1,{'understoodLanguages': ['en-GB']},['RdDJ9IxvsjdoXyPvt3S0xyh36mh1']
119,1utvzybV6bWhszjyXyuXkSWMr793,"{'understoodLanguages': [‘en-GB’, ‘es-ES’]}","['JSnYh1wxtJZWZ5IrOMYL4xiHasL2', 'zofcOLvDPXcNNNF0LBv1vc61nxj2', 'N0M4RlLFxraqROYlYthzdDuwMrt1']"
120,TJOHqlqGN9ODdsQMpeWr3FXw94o2,"{'understoodLanguages': [‘en-GB’, ‘es-ES’]}","['7KAKikg5XLXVTM0wwV33nSCwabf2', 'JwdNsoRqCzeDFAAhwmluu8jEhvr2', 'QRLtjmFDDYaEjs6NNQPvgr4o2Se2', 'Wov6kGkzbSU4AaRfSuI7OJsg85S2', 'ygVpR8KaHoekaWIUa0BSkkUYSC83']"
